File_name,Time,Errors,Score
X10_Pea_on_a_Peg_02,112.1856,1,127.1856
X10_Pea_on_a_Peg_03,122.4602,7,227.4602
X10_Pea_on_a_Peg_04,70.4891,1,85.4891
X10_Pea_on_a_Peg_05,125.8123,1,140.8123
X10_Pea_on_a_Peg_06,104.7665,0,104.7665
X10_Wire_Chaser_I_01,60.5432,4,100.5432
X10_Wire_Chaser_I_02,11.027999999999999,0,11.027999999999999
X10_Wire_Chaser_I_03,8.7544,0,8.7544
X10_Wire_Chaser_I_04,47.6158,2,67.6158
X10_Wire_Chaser_I_05,26.3237,1,36.3237
X11_Post_and_Sleeve_01,210.5083,1,225.5083
X11_Post_and_Sleeve_02,154.6956,2,184.6956
X11_Post_and_Sleeve_03,121.2501,0,121.2501
X11_Post_and_Sleeve_04,124.5208,1,139.5208
X11_Post_and_Sleeve_05,83.4731,0,83.4731
X11_Post_and_Sleeve_06,99.0259,1,114.0259
X11_Pea_on_a_Peg_01,113472.0,1,128472.0
X11_Pea_on_a_Peg_02,85.4019,1,100.4019
X11_Pea_on_a_Peg_03,76.9352,4,136.9352
X11_Pea_on_a_Peg_04,180.635,2,195.635
X11_Pea_on_a_Peg_05,115.0865,2,145.0865
X11_Wire_Chaser_I_01,57.1,0,57.1
X11_Wire_Chaser_I_02,54.9288,1,64.9288
X11_Wire_Chaser_I_03,44.9789,2,64.9789
X11_Wire_Chaser_I_04,31.5292,1,41.5292
X11_Wire_Chaser_I_05,33.6255,1,43.6255
X11_Wire_Chaser_I_06,16.4751,1,26.4751
X12_Post_and_Sleeve_01,193.106,0,193.106
X12_Post_and_Sleeve_02,149.3236,0,149.3236
X12_Post_and_Sleeve_03,145.7295,0,145.7295
X12_Post_and_Sleeve_04,158.8724,0,158.8724
X12_Pea_on_a_Peg_01,197.8786,0,197.8786
X12_Pea_on_a_Peg_02,163.7345,0,163.7345
X12_Pea_on_a_Peg_03,139.5117,1,154.5117
X12_Pea_on_a_Peg_04,115.6816,2,145.6816
X12_Pea_on_a_Peg_05,162.3144,0,162.3144
X12_Pea_on_a_Peg_06,121.7664,0,121.7664
X12_Wire_Chaser_I_01,95.2089,0,95.2089
X12_Wire_Chaser_I_02,39.4146,1,49.4146
X12_Wire_Chaser_I_03,63.5202,0,63.5202
X12_Wire_Chaser_I_04,41.9655,0,41.9655
X12_Wire_Chaser_I_05,25.0963,0,25.0963
X12_Wire_Chaser_I_06,21.6491,0,21.6491
